yasm 1.3.0-9
yay 13.0.1-1
yay-debug 13.0.1-1
zathura 2026.07.18-1
zcode-bin 3.8.1-1
zen-browser-bin 1.21.15b-1
zeromq 4.3.5-3
zimg 3.0.6-2
zint 2.16.0-2
zip 3.0-14
zix 0.8.2-1
zlib 1:1.3.2-3
zlib-ng 2.3.3-1
zoxide 0.10.0-1
zram-generator 1.2.1-1
zstd 1.5.7-3
zxing-cpp 3.1.1-1
zziplib 0.13.80-1
